iter	Passed	Remaining
934	7166	15828
935	7168	15807
936	7170	15787
937	7174	15771
938	7178	15755
939	7180	15735
940	7183	15719
941	7187	15703
942	7189	15682
943	7194	15669
944	7198	15654
945	7201	15635
946	7204	15617
947	7210	15606
948	7213	15589
949	7215	15569
950	7219	15554
951	7223	15540
952	7227	15524
953	7229	15505
954	7231	15485
955	7233	15466
956	7236	15449
957	7240	15433
958	7243	15416
959	7246	15398
960	7248	15379
961	7252	15363
962	7254	15344
963	7259	15331
964	7261	15312
965	7264	15295
966	7266	15277
967	7268	15258
968	7272	15242
969	7274	15223
970	7277	15206
971	7281	15191
972	7286	15179
973	7290	15163
974	7293	15147
975	7296	15130
976	7299	15114
977	7302	15097
978	7305	15080
979	7310	15068
980	7313	15052
981	7318	15040
982	7321	15022
983	7324	15005
984	7327	14989
985	7330	14973
986	7332	14955
987	7336	14939
988	7339	14923
989	7341	14905
990	7343	14887
991	7346	14871
992	7353	14861
993	7359	14852
994	7362	14836
995	7365	14818
996	7369	14804
997	7373	14791
998	7376	14775
999	7378	14757
1000	7381	14741
1001	7384	14724
1002	7388	14710
1003	7390	14693
1004	7394	14678
1005	7397	14663
1006	7400	14646
1007	7402	14629
1008	7406	14615
1009	7409	14598
1010	7414	14586
1011	7416	14569
1012	7419	14553
1013	7421	14536
1014	7423	14518
1015	7425	14500
1016	7427	14483
1017	7431	14467
1018	7434	14452
1019	7437	14437
1020	7439	14420
1021	7443	14405
1022	7446	14391
1023	7452	14380
1024	7454	14363
1025	7456	14345
1026	7459	14331
1027	7462	14316
1028	7464	14298
1029	7469	14285
1030	7471	14268
1031	7474	14252
1032	7477	14237
1033	7479	14221
1034	7483	14208
1035	7487	14193
1036	7489	14178
1037	7493	14163
1038	7495	14146
1039	7497	14129
1040	7499	14112
1041	7500	14094
1042	7504	14080
1043	7509	14068
1044	7511	14052
1045	7515	14038
1046	7516	14021
1047	7518	14004
1048	7520	13987
1049	7522	13971
1050	7527	13958
1051	7530	13943
1052	7533	13929
1053	7536	13915
1054	7540	13901
1055	7542	13885
1056	7545	13869
1057	7547	13853
1058	7550	13839
1059	7553	13824
